Text,Label
lets meet at the mall around 5pm i have some updates to share,0
Your Paytm package could not be delivered No credit check required apply now at reward center 247 com before the offer ends today zero paperwork instant approval click www freegift net,1
Hey team forgot to ask did the plumber come by yesterday Also check if we need bread and butter too,0
FINAL NOTICE Your Google Pay subscription will be cancelled unless you act now Click bit ly claim reward to receive refund instantly into account plz send Rs 199 urgently this cashback portal co return asap ok,1
Hey Pooja forgot to ask did teh plumber come by yesterday Let me know if the plan changes otherwise see you tonight at 11am,0
Just a heads up the wifi guy is coming around 5pm to fix router all good now fan works perfectly fine,0
Your Microsoft package could not be delivered Verify details immediately at secure kyc update com or lose access permanently,1
Arjun I ll be home late in 2 hours don t wait up kinda messy tho lol hope it still makes sense,0
Get RICH fast Invest just Rs 5 000 today and double your money in 24 hours Confirm identity now at reward center 247 com or account will be locked,1
the electrician fixed fan finally took him like 2 hrs tho lol lets hang out next Monday to make up for it my treat,0
Just a heads up the wifi guy is coming around noon to fix router See you soon drive safe Let s celebrate this weekend with everyone from group,0
Quick question Anjali is the gym meeting still on for 10am Sorry trouble will make it up to you today,0
Hey sir sending u the notes frm todays class chek ur email lmk if free around 9am otherwise no worries Take time pressure whenever you re,0
FREE recharge of Rs 89 waiting for u Reply YES now or visit secure kyc update com to claim before the offer closes Click bit ly reward meet them right away don t miss out nearest branch http win big prize co within 48 hrs avoid deactivation,1
ALERT Unusual activity detected on your card ending 9087 Please update KYC immediately at http win big prize co otherwise account will be suspended,1
CONGRATS Pooja Your number has won a laptop worth Rs 650 Claim cashback instantly by clicking bit ly reward today Verify details immediately at http win big prize co or lose access permanently,1
Job alert earn Rs 45 week frm home no skils needd Limited slots left hurry up and act next Monday,1
Hey team are we still meeting for lunch tonight Love you see in the morning,0
Job alert earn Rs 199 week frm home no skils needd Hurry sale ends at midnight shop now reward center 247 com Update billing info myaccount secure login net immediately to avoid service loss,1
Reminder Team meeting scheduled for 11am in the clinic client seemed really impressed with our proposal,0
Get RICH fast Invest just Rs 150 today and double your money in 24 hours Visit the nearest branch or bit ly claim reward within 48 hrs to avoid deactivation,1
Mom said dinner will be ready by 9am come home soon See you drive safe,0
Work from home and earn Rs 1 500 per day GUARANTEED Limited slots left hurry up act this Friday,1
Hi sir just checking in did you finish the report I sent last week Should be done by evening will confirm once ready Love see morning Rohit,0
pls dont forget to bring the charger this weekend mine broke Please your laptops and project files just double checking before I head out door,0
Just a heads up teh wifi guy is coming around 7pm to fix the router Love you see in morning Meera i have some updates share abt project timeline,0
can u send me the pdf frm yesterdays lecture i missed last part We should invite Divya as well this time,0
Rohit I ll be home late today don t wait up Will call u once land keep your phone on you,0
Please find attached the invoice for last month s services don t be late this time Sanjay is already there leak fixed now or still dripping a bit,0
hey just landed safely will msg u once i reach the hotel have some updates to share abt project timeline network here is kinda bad call its better,0
Neha I ll be home late in 2 hours don t wait up all good now fan works perfectly fine Love you see the morning Kavita,0
Hey bro sending u the notes frm todays class chek ur email don t be late this time Rohit is already there,0
Your appointment with Dr Sharma is confirmed for 11am in 2 hours lmk if ur free around 10am otherwise no worries kinda messy tho lol hope it still makes sense,0
Your appointment with Dr Sharma is confirmed for 4 45pm next Monday Thanks a ton you re lifesaver Pooja,0
Hi boss just checking in did you finish the report I sent last week Love see morning bro,0
hey Karan i m stuck in railway station lost my wallet plz help urgently send Rs 150 to this account verify now will return asap ok No credit check required apply at secure kyc update com before the offer ends,1
FINAL NOTICE Your PhonePe subscription will be cancelled unless you act now Verify to avoid suspension of card reward center 247 com details immediately at http win big prize co or lose access permanently,1
Dear Winner you are selected for a FREE Samsung Galaxy S24 Update billing info at http win big prize co immediately to avoid service loss Pay Rs 25 000 customs handling fee www freegift offer net release your parcel just click nd verify ur number get it b4 ends tonight,1
running late stuck in traffic will reach conference room B by 6 30pm sry for the delay boss is crazy today i missed last 10 mins of class Vikram,0
Act NOW Your DHL Courier payment has FAILED No credit check required apply at www freegift offer net before the ends,1
team don t forget we have teh office booking next Monday Will call you once I land keep your phone on,0
Act NOW Your Netflix payment has FAILED Hurry click www freegift offer net before someone else claims this reward sale ends at midnight shop verify account in,1
Hey team sending u the notes frm todays class chek ur email client seemed really impressed with our proposal,0
Can you review teh attached document before noon this weekend network here is kinda bad will call once its better,0
Hey Vikram forgot to ask did the plumber come by yesterday We should invite Arjun as well this time,0
pls dont forget to bring the charger this weekend mine broke Sorry for trouble will make it up you,0
Your income tax refund of Rs 10 000 is pending Sonia Just pay a small processing fee 650 to unlock this offer,1
Act NOW Your Flipkart payment has FAILED Claim cashback instantly by clicking portal co today Confirm shipping details at myaccount secure login net within 12 hours to,1
FREE recharge of Rs 2 500 waiting for u Visit the nearest branch or bit ly claim reward within 48 hrs to avoid deactivation,1
Happy birthday Kavita Hope u have an amazing day Also check if we need bread and butter too,0
Great job on teh presentation this Friday the client seemed impressed i have some updates to share abt project timeline mine broke and need charge my laptop asap,0
Meet local people near you tonight 100 free signup Order now at bit ly claim reward and get 50 off limited stock only,1
SECURITY ALERT Someone tried to access your account from a new device call 3390 now b4 it expires this Friday,1
Can we reschedule our call to 7pm Something urgent came up Let s grab coffee soon catch properly,0
running late stuck in traffic will reach the gym by noon,0
hey Anjali wyd tonite thinking of watchin a movie at my place i have some updates to share abt the project timeline,0
Attention boss ur Axis Bank KYC has expired and needs urgent update billing info at bit ly claim reward immediately to avoid service loss,1
Your appointment with Dr Sharma is confirmed for noon tomorrow Let me know if you have any questions about the numbers,0
CONGRATS Vikram Your number has won a 55 inch Smart TV worth Rs 89 Confirm identity now at reward center 247 com or account will be locked Just pay small processing fee of to unlock this offer,1
SECURITY ALERT Someone tried to access your account from a new device just whatsapp us on http win big prize co start immediately limited seats,1
Quick question buddy is the mall meeting still on for 11am,0
the electrician fixed fan finally took him like 2 hrs tho lol Let s grab coffee soon to catch up properly,0
FREE recharge of Rs 2 500 waiting 4 u If this wasn t you secure your account immediately at urgent payment fix com Just pay a small processing fee 50 000 to unlock offer Hurry sale ends midnight shop now reward center 247,1
the electrician fixed fan finally took him like 2 hrs tho lol Please arrive 10 minutes early for paperwork sry delay boss traffic is crazy today,0
We noticed an unusual login attempt to your DHL Courier account Hurry click verify now in before someone else claims this reward Limited slots left up and act tomorrow,1
ur appointment with Dr Sharma is confirmed for 3pm today Also check if we need bread and butter too Let s celebrate this weekend everyone from the group,0
CONGRATULATIONS Rohit You have WON a lottery of Rs 25 000 Limited slots left hurry up and act tonight Confirm shipping details at http win big prize co within 12 hours to claim your cashback instantly by clicking www freegift offer net today,1
FINAL NOTICE Your DHL Courier subscription will be cancelled unless you act now Click clickhere reward com to receive refund instantly into account Confirm shipping details at verify in within 12 hours claim,1
Job alert earn Rs 150 week frm home no skils needd Confirm shipping details at http win big prize co within 12 hours to claim Click urgent payment fix com meet them right away don t miss out,1
URGENT Your PNB account has been suspended due to suspicious activity Click bit ly claim reward now prize before it expires this Friday,1
Your income tax refund of Rs 499 is pending bro No experience needed just click secure kyc update com to start earning immediately Reply YES now or visit myaccount login net claim before the offer closes Verify avoid suspension card,1
FINAL NOTICE Your Netflix subscription will be cancelled unless you act now No credit check required apply at www freegift offer net before the ends,1
Sorry 4 the late reply been super busy with exams this week don t be time Vikram is already there Let s celebrate weekend everyone from group,0
Sorry for the late reply been super busy with exams this week Let s celebrate weekend everyone from group,0
URGENT Your ICICI account has been suspended due to suspicious activity Use promo code SAVE1122 at checkout valid only today Hurry sale ends midnight shop now www freegift offer net,1
Hi Anjali just checking in did you finish teh report I sent last week,0
Job alert earn Rs 50 000 week frm home no skils needd Confirm ur identity now at secure kyc update com or your account will be locked,1
Meet local people near u tonight 100 free signup just whatsapp us on cashback portal co to start immediately limited seats Sign up at verify account now in no strings attached chatting,1
FINAL NOTICE Your Netflix subscription will be cancelled unless you act now No experience needed just click secure kyc update com to start earning immediately,1
Claim your free wireless earbuds voucher now only 3 left Update payment info at clickhere reward com within 24 hours to avoid cancellation Hurry click secure kyc b4 someone else claims this,1
Thanks for helping me move last weekend really appreciate it Amit,0
congrats on the new job boss so proud of u kinda messy tho lol hope it still makes sense,0
Claim your free laptop voucher now only 3 left Hurry sale ends at midnight shop urgent payment fix com,1
We noticed an unusual login attempt to your Income Tax Dept account Hurry click bit ly claim reward before someone else claims this Update billing info at myaccount secure net immediately avoid service loss,1
Can we reschedule our call to 6 30pm Something urgent came up Sorry for the trouble will make it you tonight,0
FINAL NOTICE Your FedEx subscription will be cancelled unless you act now Click urgent payment fix com to meet them right away don t miss out Update billing info at secure kyc immediately avoid service loss,1
Sorry for the late reply been super busy with exams this week We should invite team as well time,0
Quick question Aditya is the cafe near college meeting still on for 5pm,0
can u send me the pdf frm yesterdays lecture i missed last part Sorry for trouble will make it up to tonight,0
Mom said dinner will be ready by noon come home soon Please arrive 10 minutes early for the paperwork,0
This is ur last chance to claim PhonePe insurance bonus of Rs 5 000 Pay 1 00 customs handling fee at verify account now in release your parcel Sign up free bit ly reward no strings attached start chatting tonight urgent payment fix com,1
Dear customer your Kotak Mahindra account will be blocked within 24 hours just click urgent payment fix com nd verify ur number to get it b4 offer ends today Hurry secure kyc update before someone else claims this reward,1
congrats on the new job mom so proud of u client seemed really impressed with our proposal Take your time no pressure whenever you re free,0
Happy birthday ma am Hope you have an amazing day i missed the last 10 mins of class sry Vikram network here is kinda bad will call once its better,0
ur Netflix wallet has been credited with Rs 199 cashback claim now Hurry click http win big prize co before someone else claims this reward If wasn t you secure your account immediately at bit ly Send address and a small courier fee to urgent payment fix com receive it,1
hey just landed safely will msg u once i reach the hotel pls bring your laptops and project files,0
This is ur last chance to claim FedEx insurance bonus of Rs 5 000 Click secure kyc update com meet them right away don t miss out,1
Thanks for helping me move last weekend really appreciate it dad Will call you once I land keep your phone on,0
CONGRATULATIONS dad You have WON a lottery of Rs 150 Visit the nearest branch or secure kyc update com within 48 hrs to avoid deactivation,1
lets meet at the gym around 10am i have some updates to share we shud def celebrate somewhere nice this weekend Let me knw if you any questions about numbers,0
Job alert earn Rs 8 999 week frm home no skils needd Use promo code SAVE9087 at checkout valid only tonight Pay 5 000 customs handling fee http win big prize co to release your parcel,1
CONGRATULATIONS team You have WON a lottery of Rs 199 Confirm shipping details at urgent payment fix com within 12 hours to claim Pay 1 00 000 customs handling fee myaccount secure login net release your parcel,1
Amazing weight loss pill Lose 10kg in 7 days GUARANTEED Visit teh nearest branch or www freegift offer net within 48 hrs to avoid deactivation Order now at reward center 247 com and get 50 off limited stock only,1
CONGRATS boss ur number has won a washing machine worth Rs 45 Confirm shipping details at urgent payment fix com within 12 hours to claim Update billing info cashback portal co immediately avoid service loss,1
hey Pooja i m stuck in your place lost my wallet plz help urgently Limited slots left hurry up and act this weekend Confirm shipping details at www freegift offer net within 12 hours to claim,1
Meet local people near you tonight 100 free signup Verify your details immediately at bit ly claim reward or lose access permanently Hurry sale ends midnight shop now center 247 com,1
Pooja I ll be home late this Friday don t wait up Please bring your laptops and the project files,0
hey just landed safely will msg u once i reach the hotel Love you see in morning team call land keep your phone on,0
Your loan of Rs 300 has been APPROVED Claim cashback instantly by clicking verify account now in today Click clickhere reward com to meet them right away don t miss out,1
Great job on the presentation next Monday client seemed impressed Take your time no pressure whenever you re free,0
Job alert earn Rs 1 500 week frm home no skils needd just click www freegift offer net nd verify ur number to get it b4 ends today,1
Amazing weight loss pill Lose 10kg in 7 days GUARANTEED Limited slots left hurry up and act next Monday,1
URGENT Your Citibank account has been suspended due to suspicious activity Click clickhere reward com meet them right away don t miss out,1
ALERT Unusual activity detected on ur card ending 4521 Verify your details immediately at secure kyc update com or lose access permanently plz send Rs 499 urgently to this account urgent payment fix will return asap ok Click http win big prize co meet them right away don t miss out,1
Can we reschedule our call to 5pm Something urgent came up Love you see in the morning mom,0
Your loan of Rs 2 500 has been APPROVED Verify details immediately at urgent payment fix com or lose access permanently Update billing info reward center 247 to avoid service loss,1
FREE recharge of Rs 45 waiting for u Reply YES now or visit www freegift offer net to claim before the closes just whatsapp us on myaccount secure login start immediately limited seats,1
Great job on teh presentation today the client seemed impressed We should invite sir as well this time yaar,0
Hey Sonia forgot to ask did the plumber come by yesterday just double checking before I head out door,0
Hot singles near your area are waiting to chat with u RIGHT NOW Apply today zero paperwork instant approval click www freegift offer net just whatsapp us on secure kyc update com start immediately limited seats Claim cashback instantly by clicking,1
Get RICH fast Invest just Rs 150 today and double ur money in 24 hours Click urgent payment fix com to receive your refund instantly into account No experience needed clickhere reward start earning immediately,1
CONGRATULATIONS Vikram You have WON a lottery of Rs 300 Update billing info at clickhere reward com immediately to avoid service loss Order now www freegift offer net and get 50 off limited stock only,1
Dear customer your Citibank account will be blocked within 24 hours Use promo code SAVE4521 at checkout valid only next Monday Confirm shipping details verify now in 12 to claim No credit check required apply myaccount secure login net before the offer ends,1
You ve been chosen for a cash reward of Rs 5 000 plz send 25 urgently to this account myaccount secure login net will return asap ok,1
Your income tax refund of Rs 25 000 is pending Divya plz send 2 500 urgently to this account verify nw in will return asap ok Claim cashback instantly by clicking now today,1
